node,node2,regime
C23,,nonaggressive
C17,,nonaggressive
C12,,nonaggressive
C10,,nonaggressive
C3,,nonaggressive
C14,,nonaggressive
C5,,nonaggressive
C9,,aggressive
C24,,aggressive
C6,,aggressive
C21,,aggressive
C19,,aggressive
C1,,nonaggressive
C22,,nonaggressive
C4,,nonaggressive
C13,,nonaggressive
C18,,nonaggressive
C15,,nonaggressive
C11,,nonaggressive
C16,,nonaggressive
C8,,nonaggressive
C20,,nonaggressive
C7,,nonaggressive
C23,C17,nonaggressive
C23,C10,nonaggressive
C23,C5,nonaggressive
C17,C12,nonaggressive
C10,C3,nonaggressive
C3,C14,nonaggressive
C5,C9,nonaggressive
C9,C24,aggressive
C9,C1,nonaggressive
C24,C6,aggressive
C6,C21,aggressive
C21,C19,aggressive
C1,C22,nonaggressive
C1,C13,nonaggressive
C22,C4,nonaggressive
C13,C18,nonaggressive
C18,C15,nonaggressive
C18,C11,nonaggressive
C11,C16,nonaggressive
C16,C8,nonaggressive
C8,C20,nonaggressive
C20,C7,nonaggressive
