node,node2,regime
C23,,aggressive
C17,,nonaggressive
C12,,nonaggressive
C10,,nonaggressive
C3,,nonaggressive
C14,,aggressive
C5,,nonaggressive
C9,,nonaggressive
C24,,nonaggressive
C6,,nonaggressive
C21,,nonaggressive
C19,,nonaggressive
C1,,aggressive
C22,,aggressive
C4,,aggressive
C13,,nonaggressive
C18,,aggressive
C15,,aggressive
C11,,aggressive
C16,,aggressive
C8,,nonaggressive
C20,,nonaggressive
C7,,nonaggressive
C23,C17,nonaggressive
C23,C10,nonaggressive
C23,C5,nonaggressive
C17,C12,nonaggressive
C10,C3,nonaggressive
C3,C14,nonaggressive
C5,C9,nonaggressive
C9,C24,nonaggressive
C9,C1,nonaggressive
C24,C6,nonaggressive
C6,C21,nonaggressive
C21,C19,nonaggressive
C1,C22,aggressive
C1,C13,nonaggressive
C22,C4,aggressive
C13,C18,nonaggressive
C18,C15,aggressive
C18,C11,nonaggressive
C11,C16,nonaggressive
C16,C8,nonaggressive
C8,C20,nonaggressive
C20,C7,nonaggressive
